District,Size m2,Rooms number,Price,Rent,URL
 Śródmieście,32.0,1,1450.0,350.0,https://www.olx.pl/d/oferta/mieszkanie-1-pok-przy-metrze-na-muranowie-srodmiescie-CID3-IDHDtaj.html#14aaf70e72
 Praga-Południe,30.0,1,1600.0,400.0,https://www.olx.pl/d/oferta/do-wynajecia-sloneczna-kawalerka-15-min-od-centrum-CID3-IDLQ5CS.html#14aaf70e72;promoted
 Targówek,50.0,2,1200.0,500.0,https://www.olx.pl/d/oferta/mieszkanie-50m2-na-wynajem-warszawa-brodno-CID3-IDLQ5yW.html#14aaf70e72;promoted
 Rembertów,29.0,1,1500.0,1.0,https://www.olx.pl/d/oferta/kawalerka-29m2-warszawa-rembertow-CID3-IDLqUbl.html#14aaf70e72
 Śródmieście,20.0,1,1999.0,300.0,https://www.olx.pl/d/oferta/wynajme-mieszkanie-warszawa-srodmiescie-bracka-CID3-IDL6GCV.html#14aaf70e72;promoted
 Mokotów,63.0,3,4100.0,700.0,https://www.olx.pl/d/oferta/mieszkanie-63m-3-pokoje-dolny-mokotow-balkon-30m-CID3-IDLRpHJ.html#0d85410fb0;promoted
 Włochy,47.32,2,2200.0,300.0,https://www.olx.pl/d/oferta/kameralne-osiedle-dwa-pokoje-balkon-garaz-podz-rezerwacja-CID3-IDLzHaG.html#0d85410fb0;promoted
 Praga-Południe,38.0,2,2600.0,1.0,https://www.olx.pl/d/oferta/mieszkanie-38m2-chrzanowskiego-14-CID3-IDLKVOY.html#0d85410fb0;promoted
 Mokotów,37.0,2,2750.0,1.0,https://www.olx.pl/d/oferta/mieszkanie-mozaika-mokotow-ul-cybernetyki-od-listopada-CID3-IDGaD8Q.html#0d85410fb0;promoted
 Białołęka,55.0,3,2500.0,1.0,https://www.olx.pl/d/oferta/ul-szumiacych-traw-2-warszawa-bialoleka-3-pokoje-garderoba-taras-CID3-IDL2KRS.html#0d85410fb0;promoted
 Białołęka,30.0,1,3300.0,1.0,https://www.olx.pl/d/oferta/mieszkanie-warszawa-CID3-IDLFohL.html#0d85410fb0;promoted
 Praga-Południe,43.0,2,1950.0,550.0,https://www.olx.pl/d/oferta/mieszkanie-do-wynajecia-goclaw-CID3-IDLHu5z.html#0d85410fb0
 Targówek,47.0,3,1600.0,550.0,https://www.olx.pl/d/oferta/wynajme-mieszkanie-3-pokoje-47-m2-na-targowku-CID3-IDLVEgK.html#0d85410fb0
 Wola,34.0,2,2200.0,400.0,https://www.olx.pl/d/oferta/2-pokojowe-mieszkanie-na-woli-ul-wawelberga-34-m2-CID3-IDLUseI.html#0d85410fb0;promoted
 Włochy,37.0,2,2200.0,400.0,https://www.olx.pl/d/oferta/mieszkanie-2-pokoje-nowy-rakow-CID3-IDLVDUA.html#0d85410fb0
 Mokotów,31.06,1,2000.0,300.0,https://www.olx.pl/d/oferta/wynajme-kawalerke-warszawa-sluzew-CID3-IDLVDij.html#0d85410fb0
 Włochy,17.0,1,1500.0,1.0,https://www.olx.pl/d/oferta/ladna-kawalerka-w-dobrej-lokalizacji-CID3-IDLVDic.html#0d85410fb0
 Białołęka,70.0,3,2300.0,600.0,https://www.olx.pl/d/oferta/mieszkanie-3-pok-70m2-wynajem-CID3-IDKtu43.html#0d85410fb0
 Ursynów,64.0,3,2800.0,1.0,https://www.olx.pl/d/oferta/mieszkanie-do-wynajecia-warszawa-ursynow-natolin-CID3-IDLpNHx.html#0d85410fb0
 Wesoła,70.0,3,2000.0,500.0,https://www.olx.pl/d/oferta/trzypokojowe-mieszkanie-stara-milosna-CID3-IDLVCRn.html#0d85410fb0
 Bielany,37.0,2,2000.0,500.0,https://www.olx.pl/d/oferta/wynajme-2-pokojowe-mieszkanie-CID3-IDJWnGq.html#0d85410fb0;promoted
 Mokotów,80.0,3,5600.0,1.0,https://www.olx.pl/d/oferta/wygodny-trzypokojowy-apartament-na-eko-park-CID3-IDLVClg.html#0d85410fb0
 Bielany,35.0,1,1600.0,1.0,https://www.olx.pl/d/oferta/kawalerka-do-wynajecia-CID3-IDLVCfX.html#0d85410fb0
 Bemowo,59.0,2,2400.0,1.0,https://www.olx.pl/d/oferta/bezposrednio-2-pokoje-59m2-garaz-z-czynsz-w-cenie-ewen-shiraz-CID3-IDLVBQ1.html#0d85410fb0;promoted
 Wola,20.0,1,1400.0,320.0,https://www.olx.pl/d/oferta/kawalerka-20m2-przy-metrze-ksiecia-janusza-ul-ciolka-CID3-IDLWECx.html#0d85410fb0
 Wawer,61.0,3,3000.0,1.0,https://www.olx.pl/d/oferta/mieszkanie-praga-poludnie-CID3-IDLVBAW.html#0d85410fb0
 Wola,34.0,1,1700.0,430.0,https://www.olx.pl/d/oferta/kawalerka-po-remoncie-na-bliskiej-woli-z-balkonem-CID3-IDLP8gV.html#0d85410fb0;promoted
 Białołęka,47.0,3,2300.0,500.0,https://www.olx.pl/d/oferta/mieszkanie-3-pokojowe-do-wynajecia-ul-ceramiczna-od-1-listopada-CID3-IDLVBq0.html#0d85410fb0
 Ursynów,31.0,1,2000.0,1.0,https://www.olx.pl/d/oferta/wynajme-kawalerke-31m2-w-warszawie-ursynow-CID3-IDLVAKo.html#0d85410fb0
 Mokotów,31.5,1,1650.0,350.0,https://www.olx.pl/d/oferta/ladna-zadbana-kawalerka-na-stegnach-bezposrednio-stala-oplata-2-tys-CID3-IDLUQBp.html#0d85410fb0;promoted
 Ochota,25.0,1,1600.0,1.0,https://www.olx.pl/d/oferta/ladna-funkcjonalna-kawalerka-warszawa-ochota-ul-geodetow-CID3-IDLVeuG.html#0d85410fb0;promoted
 Ursynów,67.0,3,2300.0,600.0,https://www.olx.pl/d/oferta/3-pokojowe-mieszkanie-67-przy-m-stoklosy-do-wynajecia-od-zaraz-CID3-IDKmBdT.html#0d85410fb0;promoted
 Wola,23.0,1,1100.0,300.0,https://www.olx.pl/d/oferta/kawalerka-do-wynajecia-warszawa-wola-CID3-IDKgr0q.html#0d85410fb0
 Mokotów,30.0,1,2000.0,450.0,https://www.olx.pl/d/oferta/do-wynajecia-kawalerka-po-generalnym-remoncie-na-mokotowie-CID3-IDLVypI.html#0d85410fb0;promoted
